number,GaiaDR2,teff_xgboost,mh_xgboost,logg_xgboost,Mass5R,P_B,protD,age_seisfit,age_tefffit,ages_rotfit
206,604922779020036736,6022.9,-0.054,4.254,-9999.0,-9999.0,-9999.0,-9999.0,6.1077517829459405,-9999.0
207,604921855602675840,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
208,604916117526551680,5710.3,0.047,4.418,-9999.0,-9999.0,-9999.0,-9999.0,6.132008573226072,-9999.0
209,604916873440765696,5452.2,-0.168,4.401,-9999.0,-9999.0,-9999.0,-9999.0,16.044474800543078,-9999.0
210,604922096120852864,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
211,604969340761109760,4993.4,-0.362,4.419,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
212,604897833850019328,-9999.0,-9999.0,-9999.0,-9999.0,26.9,-9999.0,-9999.0,-9999.0,5.687538363450363
213,604971402345381120,5944.2,-0.056,4.231,-9999.0,-9999.0,-9999.0,-9999.0,7.4406336423228545,-9999.0
214,604964118080894464,5615.4,0.007,4.427,-9999.0,-9999.0,-9999.0,-9999.0,7.843298666027074,-9999.0
215,604908146067299712,5930.9,0.099,4.358,-9999.0,-9999.0,-9999.0,-9999.0,4.338226412659955,-9999.0
216,604971058748016384,6033.8,0.044,4.225,-9999.0,-9999.0,-9999.0,-9999.0,5.301990528353987,-9999.0
217,604947831564803840,5231.7,-0.086,4.53,-9999.0,-9999.0,-9999.0,-9999.0,9.497392623950518,-9999.0
218,604711299125433472,5350.7,-0.015,4.507,-9999.0,28.8,-9999.0,-9999.0,7.929543939446128,5.1153018440612685
219,604920687371751936,5948.2,-0.05,4.289,-9999.0,-9999.0,-9999.0,-9999.0,6.76166179317785,-9999.0
220,604920756091232256,6030.3,-0.098,4.14,-9999.0,-9999.0,-9999.0,-9999.0,6.9161958905783925,-9999.0
221,604920515573076352,6023.4,-0.042,4.252,-9999.0,-9999.0,-9999.0,-9999.0,6.022379849687114,-9999.0
222,604921374566324992,5848.7,-0.157,4.25,-9999.0,-9999.0,-9999.0,-9999.0,9.55081834217466,-9999.0
